***********************./en_de_15k_V1***********************
neg param 0.1 ; split ; sim param 0.05 ; inner sim param 0.05
ents: 15000 + 4919 = 15000
ents: 15000 + 4462 = 15000
all ents: 25500
all rels: 222 120 342
all triples: 38363 + 37377 = 75740
To align: 10500
sparse sim mat to sparse tensor
sparse sim mat to sparse tensor
sparse sim mat to sparse tensor
123/1000, sim loss = 636.458, time = 0.262 s
124/1000, rel loss = 52400.235, time = 0.905 s
125/1000, sim loss = 634.754, time = 0.302 s
126/1000, rel loss = 51882.444, time = 0.902 s
127/1000, sim loss = 633.075, time = 0.328 s
128/1000, rel loss = 51413.762, time = 0.896 s
129/1000, sim loss = 631.444, time = 0.301 s
130/1000, rel loss = 50901.621, time = 0.881 s
131/1000, sim loss = 629.821, time = 0.264 s
132/1000, rel loss = 50408.922, time = 0.874 s
133/1000, sim loss = 628.222, time = 0.291 s
134/1000, rel loss = 49864.247, time = 0.884 s
135/1000, sim loss = 626.662, time = 0.268 s
136/1000, rel loss = 49355.197, time = 0.872 s
137/1000, sim loss = 625.115, time = 0.274 s
138/1000, rel loss = 48872.773, time = 0.866 s
139/1000, sim loss = 623.612, time = 0.288 s
140/1000, rel loss = 48437.208, time = 0.887 s
141/1000, sim loss = 622.118, time = 0.261 s
142/1000, rel loss = 47974.096, time = 0.890 s
143/1000, sim loss = 620.661, time = 0.304 s
144/1000, rel loss = 47549.857, time = 0.891 s
145/1000, sim loss = 619.203, time = 0.264 s
146/1000, rel loss = 47099.080, time = 0.867 s
147/1000, sim loss = 617.784, time = 0.278 s
148/1000, rel loss = 46709.228, time = 0.866 s
149/1000, sim loss = 616.408, time = 0.287 s
150/1000, rel loss = 46276.813, time = 0.870 s
151/1000, sim loss = 615.030, time = 0.266 s
152/1000, rel loss = 45832.704, time = 0.865 s
153/1000, sim loss = 613.685, time = 0.258 s
154/1000, rel loss = 45370.009, time = 0.869 s
155/1000, sim loss = 612.337, time = 0.264 s
156/1000, rel loss = 45003.735, time = 0.864 s
157/1000, sim loss = 611.015, time = 0.257 s
158/1000, rel loss = 44609.479, time = 0.874 s
159/1000, sim loss = 609.729, time = 0.261 s
160/1000, rel loss = 44206.636, time = 0.871 s
161/1000, sim loss = 608.442, time = 0.260 s
162/1000, rel loss = 43851.614, time = 0.872 s
163/1000, sim loss = 607.188, time = 0.279 s
164/1000, rel loss = 43411.858, time = 0.867 s
165/1000, sim loss = 605.976, time = 0.270 s
166/1000, rel loss = 43079.369, time = 0.868 s
167/1000, sim loss = 604.750, time = 0.257 s
168/1000, rel loss = 42728.286, time = 0.871 s
169/1000, sim loss = 603.543, time = 0.261 s
170/1000, rel loss = 42319.627, time = 0.874 s
171/1000, sim loss = 602.360, time = 0.258 s
172/1000, rel loss = 42002.151, time = 0.875 s
173/1000, sim loss = 601.201, time = 0.272 s
174/1000, rel loss = 41716.384, time = 0.867 s
175/1000, sim loss = 600.057, time = 0.266 s
176/1000, rel loss = 41317.545, time = 0.861 s
177/1000, sim loss = 598.909, time = 0.280 s
178/1000, rel loss = 41012.127, time = 0.861 s
179/1000, sim loss = 597.782, time = 0.279 s
180/1000, rel loss = 40702.488, time = 0.866 s
181/1000, sim loss = 596.683, time = 0.269 s
182/1000, rel loss = 40251.724, time = 0.868 s
183/1000, sim loss = 595.602, time = 0.268 s
184/1000, rel loss = 40009.281, time = 0.867 s
185/1000, sim loss = 594.525, time = 0.268 s
186/1000, rel loss = 39656.463, time = 0.864 s
187/1000, sim loss = 593.457, time = 0.260 s
188/1000, rel loss = 39352.692, time = 0.866 s
189/1000, sim loss = 592.412, time = 0.273 s
190/1000, rel loss = 39083.113, time = 0.867 s
191/1000, sim loss = 591.401, time = 0.271 s
192/1000, rel loss = 38693.210, time = 0.866 s
193/1000, sim loss = 590.386, time = 0.281 s
194/1000, rel loss = 38478.559, time = 0.865 s
195/1000, sim loss = 589.400, time = 0.276 s
196/1000, rel loss = 38189.381, time = 0.869 s
197/1000, sim loss = 588.432, time = 0.259 s
198/1000, rel loss = 37896.958, time = 0.874 s
199/1000, sim loss = 587.424, time = 0.260 s
200/1000, rel loss = 37609.043, time = 0.867 s
201/1000, sim loss = 586.463, time = 0.269 s
202/1000, rel loss = 37268.302, time = 0.867 s
