***********************./en_fr_15k_V1***********************
neg param 0.1 ; split ; sim param 0.05 ; inner sim param 0.05
ents: 15000 + 4991 = 15000
ents: 15000 + 4832 = 15000
all ents: 25500
all rels: 221 177 398
all triples: 36508 + 33532 = 70040
To align: 10500
sparse sim mat to sparse tensor
sparse sim mat to sparse tensor
sparse sim mat to sparse tensor
123/1000, sim loss = 616.910, time = 0.231 s
124/1000, rel loss = 47114.762, time = 0.858 s
125/1000, sim loss = 615.125, time = 0.229 s
126/1000, rel loss = 46586.049, time = 0.862 s
127/1000, sim loss = 613.346, time = 0.227 s
128/1000, rel loss = 46120.216, time = 0.864 s
129/1000, sim loss = 611.611, time = 0.223 s
130/1000, rel loss = 45647.552, time = 0.866 s
131/1000, sim loss = 609.904, time = 0.229 s
132/1000, rel loss = 45172.939, time = 0.861 s
133/1000, sim loss = 608.201, time = 0.220 s
134/1000, rel loss = 44728.632, time = 0.860 s
135/1000, sim loss = 606.555, time = 0.232 s
136/1000, rel loss = 44276.797, time = 0.865 s
137/1000, sim loss = 604.946, time = 0.234 s
138/1000, rel loss = 43862.674, time = 0.872 s
139/1000, sim loss = 603.354, time = 0.220 s
140/1000, rel loss = 43429.086, time = 0.861 s
141/1000, sim loss = 601.818, time = 0.225 s
142/1000, rel loss = 43020.354, time = 0.870 s
143/1000, sim loss = 600.281, time = 0.227 s
144/1000, rel loss = 42597.930, time = 0.860 s
145/1000, sim loss = 598.766, time = 0.233 s
146/1000, rel loss = 42206.546, time = 0.866 s
147/1000, sim loss = 597.301, time = 0.225 s
148/1000, rel loss = 41826.095, time = 0.858 s
149/1000, sim loss = 595.835, time = 0.222 s
150/1000, rel loss = 41452.847, time = 0.861 s
151/1000, sim loss = 594.401, time = 0.221 s
152/1000, rel loss = 41088.610, time = 0.861 s
153/1000, sim loss = 593.009, time = 0.239 s
154/1000, rel loss = 40712.088, time = 0.859 s
155/1000, sim loss = 591.609, time = 0.225 s
156/1000, rel loss = 40344.852, time = 0.877 s
157/1000, sim loss = 590.258, time = 0.238 s
158/1000, rel loss = 40020.976, time = 0.864 s
159/1000, sim loss = 588.930, time = 0.229 s
160/1000, rel loss = 39660.340, time = 0.870 s
161/1000, sim loss = 587.617, time = 0.225 s
162/1000, rel loss = 39314.605, time = 0.859 s
163/1000, sim loss = 586.288, time = 0.223 s
164/1000, rel loss = 38961.840, time = 0.865 s
165/1000, sim loss = 585.020, time = 0.232 s
166/1000, rel loss = 38650.212, time = 0.868 s
167/1000, sim loss = 583.770, time = 0.226 s
168/1000, rel loss = 38312.114, time = 0.860 s
169/1000, sim loss = 582.516, time = 0.237 s
170/1000, rel loss = 37988.372, time = 0.866 s
171/1000, sim loss = 581.306, time = 0.226 s
172/1000, rel loss = 37661.208, time = 0.862 s
173/1000, sim loss = 580.123, time = 0.219 s
174/1000, rel loss = 37363.470, time = 0.860 s
175/1000, sim loss = 578.965, time = 0.221 s
176/1000, rel loss = 37065.426, time = 0.865 s
177/1000, sim loss = 577.814, time = 0.227 s
178/1000, rel loss = 36776.111, time = 0.863 s
179/1000, sim loss = 576.664, time = 0.223 s
180/1000, rel loss = 36494.748, time = 0.863 s
181/1000, sim loss = 575.523, time = 0.223 s
182/1000, rel loss = 36211.390, time = 0.867 s
183/1000, sim loss = 574.409, time = 0.223 s
184/1000, rel loss = 35918.744, time = 0.858 s
185/1000, sim loss = 573.312, time = 0.227 s
186/1000, rel loss = 35628.256, time = 0.861 s
187/1000, sim loss = 572.238, time = 0.227 s
188/1000, rel loss = 35374.458, time = 0.861 s
189/1000, sim loss = 571.176, time = 0.222 s
190/1000, rel loss = 35116.696, time = 0.860 s
191/1000, sim loss = 570.114, time = 0.220 s
192/1000, rel loss = 34843.355, time = 0.861 s
193/1000, sim loss = 569.081, time = 0.227 s
194/1000, rel loss = 34574.402, time = 0.861 s
195/1000, sim loss = 568.085, time = 0.223 s
196/1000, rel loss = 34338.133, time = 0.862 s
197/1000, sim loss = 567.076, time = 0.252 s
198/1000, rel loss = 34088.825, time = 0.864 s
199/1000, sim loss = 566.082, time = 0.224 s
200/1000, rel loss = 33801.534, time = 0.858 s
201/1000, sim loss = 565.115, time = 0.223 s
202/1000, rel loss = 33580.037, time = 0.866 s
203/1000, sim loss = 564.155, time = 0.222 s
204/1000, rel loss = 33365.397, time = 0.858 s
205/1000, sim loss = 563.203, time = 0.223 s
206/1000, rel loss = 33122.866, time = 0.863 s
207/1000, sim loss = 562.289, time = 0.227 s
208/1000, rel loss = 32873.808, time = 0.861 s
209/1000, sim loss = 561.365, time = 0.222 s
210/1000, rel loss = 32661.475, time = 0.858 s
211/1000, sim loss = 560.453, time = 0.230 s
212/1000, rel loss = 32432.521, time = 0.860 s
213/1000, sim loss = 559.572, time = 0.226 s
214/1000, rel loss = 32193.457, time = 0.866 s
215/1000, sim loss = 558.688, time = 0.221 s
216/1000, rel loss = 31977.182, time = 0.860 s
217/1000, sim loss = 557.794, time = 0.219 s
218/1000, rel loss = 31791.707, time = 0.855 s
219/1000, sim loss = 556.951, time = 0.222 s
220/1000, rel loss = 31568.671, time = 0.863 s
221/1000, sim loss = 556.085, time = 0.225 s
222/1000, rel loss = 31351.632, time = 0.868 s
223/1000, sim loss = 555.256, time = 0.233 s
224/1000, rel loss = 31140.217, time = 0.860 s
225/1000, sim loss = 554.429, time = 0.227 s
226/1000, rel loss = 30939.146, time = 0.867 s
227/1000, sim loss = 553.638, time = 0.223 s
228/1000, rel loss = 30774.694, time = 0.859 s
229/1000, sim loss = 552.829, time = 0.229 s
230/1000, rel loss = 30537.749, time = 0.868 s
231/1000, sim loss = 552.048, time = 0.220 s
232/1000, rel loss = 30331.467, time = 0.861 s
233/1000, sim loss = 551.252, time = 0.219 s
234/1000, rel loss = 30156.068, time = 0.862 s
235/1000, sim loss = 550.479, time = 0.227 s
236/1000, rel loss = 29964.304, time = 0.864 s
237/1000, sim loss = 549.718, time = 0.238 s
238/1000, rel loss = 29765.838, time = 0.864 s
239/1000, sim loss = 548.965, time = 0.233 s
240/1000, rel loss = 29576.996, time = 0.861 s
241/1000, sim loss = 548.242, time = 0.243 s
242/1000, rel loss = 29395.586, time = 0.859 s
243/1000, sim loss = 547.482, time = 0.221 s
244/1000, rel loss = 29233.324, time = 0.859 s
245/1000, sim loss = 546.755, time = 0.223 s
246/1000, rel loss = 29053.270, time = 0.858 s
247/1000, sim loss = 546.058, time = 0.226 s
248/1000, rel loss = 28891.667, time = 0.860 s
249/1000, sim loss = 545.354, time = 0.238 s
250/1000, rel loss = 28698.283, time = 0.863 s
251/1000, sim loss = 544.665, time = 0.226 s
252/1000, rel loss = 28545.112, time = 0.862 s
253/1000, sim loss = 543.970, time = 0.222 s
254/1000, rel loss = 28369.138, time = 0.867 s
255/1000, sim loss = 543.304, time = 0.224 s
256/1000, rel loss = 28222.793, time = 0.867 s
257/1000, sim loss = 542.634, time = 0.221 s
258/1000, rel loss = 28024.376, time = 0.865 s
259/1000, sim loss = 541.962, time = 0.223 s
260/1000, rel loss = 27853.026, time = 0.861 s
261/1000, sim loss = 541.292, time = 0.228 s
262/1000, rel loss = 27714.289, time = 0.864 s
263/1000, sim loss = 540.646, time = 0.224 s
264/1000, rel loss = 27537.124, time = 0.862 s
265/1000, sim loss = 540.003, time = 0.223 s
266/1000, rel loss = 27404.546, time = 0.861 s
267/1000, sim loss = 539.362, time = 0.226 s
268/1000, rel loss = 27257.939, time = 0.864 s
269/1000, sim loss = 538.736, time = 0.230 s
270/1000, rel loss = 27118.809, time = 0.859 s
271/1000, sim loss = 538.113, time = 0.242 s
272/1000, rel loss = 26970.826, time = 0.865 s
273/1000, sim loss = 537.495, time = 0.230 s
274/1000, rel loss = 26807.664, time = 0.859 s
275/1000, sim loss = 536.872, time = 0.227 s
276/1000, rel loss = 26677.645, time = 0.865 s
277/1000, sim loss = 536.268, time = 0.224 s
278/1000, rel loss = 26541.381, time = 0.868 s
279/1000, sim loss = 535.681, time = 0.227 s
