22-45-01

129/1000, sim loss = 736.369, time = 0.214 s
130/1000, rel loss = 101926.870, time = 1.564 s
131/1000, sim loss = 732.594, time = 0.224 s
132/1000, rel loss = 100855.406, time = 1.573 s
133/1000, sim loss = 728.879, time = 0.224 s
134/1000, rel loss = 99938.328, time = 1.559 s
135/1000, sim loss = 725.273, time = 0.219 s
136/1000, rel loss = 98938.098, time = 1.581 s
137/1000, sim loss = 721.781, time = 0.216 s
138/1000, rel loss = 98080.553, time = 1.603 s
139/1000, sim loss = 718.322, time = 0.216 s
140/1000, rel loss = 97120.853, time = 1.563 s
141/1000, sim loss = 714.954, time = 0.216 s
142/1000, rel loss = 96312.468, time = 1.566 s
143/1000, sim loss = 711.644, time = 0.215 s
144/1000, rel loss = 95460.888, time = 1.549 s
145/1000, sim loss = 708.420, time = 0.228 s
146/1000, rel loss = 94567.261, time = 1.591 s
147/1000, sim loss = 705.263, time = 0.216 s
148/1000, rel loss = 93773.720, time = 1.552 s
149/1000, sim loss = 702.167, time = 0.223 s
150/1000, rel loss = 93000.164, time = 1.543 s
151/1000, sim loss = 699.177, time = 0.221 s
152/1000, rel loss = 92198.465, time = 1.562 s
153/1000, sim loss = 696.241, time = 0.216 s
154/1000, rel loss = 91437.167, time = 1.561 s
155/1000, sim loss = 693.370, time = 0.220 s
156/1000, rel loss = 90651.129, time = 1.562 s
157/1000, sim loss = 690.547, time = 0.223 s
158/1000, rel loss = 89976.680, time = 1.540 s
159/1000, sim loss = 687.758, time = 0.216 s
160/1000, rel loss = 89233.655, time = 1.554 s
161/1000, sim loss = 685.065, time = 0.224 s
162/1000, rel loss = 88588.610, time = 1.551 s
163/1000, sim loss = 682.389, time = 0.221 s
164/1000, rel loss = 87837.198, time = 1.624 s
165/1000, sim loss = 679.794, time = 0.257 s
166/1000, rel loss = 87189.859, time = 1.596 s
167/1000, sim loss = 677.242, time = 0.222 s
168/1000, rel loss = 86523.303, time = 1.572 s
169/1000, sim loss = 674.772, time = 0.225 s
170/1000, rel loss = 85885.415, time = 1.575 s
171/1000, sim loss = 672.333, time = 0.218 s
172/1000, rel loss = 85242.127, time = 1.545 s
173/1000, sim loss = 669.948, time = 0.225 s
174/1000, rel loss = 84602.838, time = 1.586 s
175/1000, sim loss = 667.600, time = 0.221 s
176/1000, rel loss = 83985.258, time = 1.581 s
177/1000, sim loss = 665.315, time = 0.237 s
178/1000, rel loss = 83361.464, time = 1.629 s
179/1000, sim loss = 663.060, time = 0.220 s
180/1000, rel loss = 82839.393, time = 1.556 s
181/1000, sim loss = 660.819, time = 0.218 s
182/1000, rel loss = 82262.602, time = 1.563 s
183/1000, sim loss = 658.660, time = 0.221 s
184/1000, rel loss = 81646.002, time = 1.569 s
185/1000, sim loss = 656.536, time = 0.220 s
186/1000, rel loss = 81074.306, time = 1.556 s
187/1000, sim loss = 654.438, time = 0.218 s
188/1000, rel loss = 80565.445, time = 1.555 s
189/1000, sim loss = 652.380, time = 0.215 s
190/1000, rel loss = 80010.213, time = 1.588 s
191/1000, sim loss = 650.358, time = 0.224 s
192/1000, rel loss = 79522.778, time = 1.577 s
193/1000, sim loss = 648.377, time = 0.216 s
194/1000, rel loss = 79027.238, time = 1.574 s
195/1000, sim loss = 646.453, time = 0.226 s
196/1000, rel loss = 78483.805, time = 1.597 s
197/1000, sim loss = 644.544, time = 0.218 s
198/1000, rel loss = 78038.689, time = 1.543 s
199/1000, sim loss = 642.679, time = 0.224 s
200/1000, rel loss = 77540.674, time = 1.577 s
201/1000, sim loss = 640.835, time = 0.220 s
202/1000, rel loss = 77129.955, time = 1.535 s
203/1000, sim loss = 639.036, time = 0.221 s
204/1000, rel loss = 76602.841, time = 1.595 s
205/1000, sim loss = 637.236, time = 0.231 s
206/1000, rel loss = 76187.846, time = 1.598 s
207/1000, sim loss = 635.498, time = 0.219 s
208/1000, rel loss = 75754.123, time = 1.591 s
209/1000, sim loss = 633.790, time = 0.238 s
210/1000, rel loss = 75311.886, time = 1.537 s
211/1000, sim loss = 632.100, time = 0.217 s
212/1000, rel loss = 74861.014, time = 1.567 s
213/1000, sim loss = 630.442, time = 0.237 s
214/1000, rel loss = 74443.647, time = 1.565 s
215/1000, sim loss = 628.803, time = 0.216 s
216/1000, rel loss = 74040.614, time = 1.549 s
217/1000, sim loss = 627.185, time = 0.217 s
218/1000, rel loss = 73616.892, time = 1.542 s
219/1000, sim loss = 625.615, time = 0.216 s
220/1000, rel loss = 73280.999, time = 1.564 s
221/1000, sim loss = 624.070, time = 0.212 s
222/1000, rel loss = 72834.094, time = 1.534 s
223/1000, sim loss = 622.561, time = 0.219 s
224/1000, rel loss = 72467.711, time = 1.546 s
225/1000, sim loss = 621.073, time = 0.216 s
226/1000, rel loss = 72037.590, time = 1.559 s
227/1000, sim loss = 619.593, time = 0.218 s
228/1000, rel loss = 71672.181, time = 1.528 s
229/1000, sim loss = 618.153, time = 0.217 s
230/1000, rel loss = 71322.829, time = 1.549 s
231/1000, sim loss = 616.728, time = 0.214 s
232/1000, rel loss = 70917.508, time = 1.526 s
233/1000, sim loss = 615.345, time = 0.213 s
234/1000, rel loss = 70590.541, time = 1.534 s
235/1000, sim loss = 613.971, time = 0.222 s
236/1000, rel loss = 70213.258, time = 1.561 s
237/1000, sim loss = 612.595, time = 0.214 s
238/1000, rel loss = 69860.962, time = 1.540 s
239/1000, sim loss = 611.265, time = 0.215 s
240/1000, rel loss = 69535.330, time = 1.551 s
