22-30-10

129/1000, sim loss = 664.516, time = 0.252 s
130/1000, rel loss = 114843.362, time = 2.020 s
131/1000, sim loss = 660.996, time = 0.255 s
132/1000, rel loss = 113714.902, time = 2.049 s
133/1000, sim loss = 657.529, time = 0.250 s
134/1000, rel loss = 112507.923, time = 2.037 s
135/1000, sim loss = 654.148, time = 0.250 s
136/1000, rel loss = 111429.196, time = 2.028 s
137/1000, sim loss = 650.899, time = 0.255 s
138/1000, rel loss = 110323.238, time = 2.043 s
139/1000, sim loss = 647.727, time = 0.254 s
140/1000, rel loss = 109237.742, time = 2.043 s
141/1000, sim loss = 644.627, time = 0.252 s
142/1000, rel loss = 108195.859, time = 2.025 s
143/1000, sim loss = 641.602, time = 0.250 s
144/1000, rel loss = 107167.953, time = 2.032 s
145/1000, sim loss = 638.619, time = 0.264 s
146/1000, rel loss = 106195.411, time = 2.038 s
147/1000, sim loss = 635.749, time = 0.250 s
148/1000, rel loss = 105281.484, time = 2.058 s
149/1000, sim loss = 632.962, time = 0.250 s
150/1000, rel loss = 104381.465, time = 2.018 s
151/1000, sim loss = 630.253, time = 0.252 s
152/1000, rel loss = 103477.502, time = 2.015 s
153/1000, sim loss = 627.596, time = 0.254 s
154/1000, rel loss = 102530.471, time = 2.053 s
155/1000, sim loss = 625.017, time = 0.261 s
156/1000, rel loss = 101695.051, time = 2.049 s
157/1000, sim loss = 622.482, time = 0.251 s
158/1000, rel loss = 100883.965, time = 2.030 s
159/1000, sim loss = 620.032, time = 0.252 s
160/1000, rel loss = 99953.554, time = 2.053 s
161/1000, sim loss = 617.578, time = 0.254 s
162/1000, rel loss = 99112.849, time = 2.024 s
163/1000, sim loss = 615.220, time = 0.254 s
164/1000, rel loss = 98353.222, time = 2.040 s
165/1000, sim loss = 612.900, time = 0.250 s
166/1000, rel loss = 97563.567, time = 2.032 s
167/1000, sim loss = 610.657, time = 0.263 s
168/1000, rel loss = 96842.233, time = 2.039 s
169/1000, sim loss = 608.428, time = 0.257 s
170/1000, rel loss = 96111.577, time = 2.032 s
171/1000, sim loss = 606.274, time = 0.252 s
172/1000, rel loss = 95353.173, time = 2.022 s
173/1000, sim loss = 604.163, time = 0.251 s
174/1000, rel loss = 94641.581, time = 2.038 s
175/1000, sim loss = 602.130, time = 0.250 s
176/1000, rel loss = 93949.448, time = 2.026 s
177/1000, sim loss = 600.105, time = 0.250 s
178/1000, rel loss = 93267.165, time = 2.016 s
179/1000, sim loss = 598.162, time = 0.253 s
180/1000, rel loss = 92620.898, time = 2.044 s
181/1000, sim loss = 596.219, time = 0.253 s
182/1000, rel loss = 91968.853, time = 2.019 s
183/1000, sim loss = 594.360, time = 0.252 s
184/1000, rel loss = 91314.738, time = 2.028 s
185/1000, sim loss = 592.533, time = 0.252 s
186/1000, rel loss = 90673.030, time = 2.036 s
187/1000, sim loss = 590.712, time = 0.251 s
188/1000, rel loss = 90034.514, time = 2.026 s
189/1000, sim loss = 588.971, time = 0.257 s
190/1000, rel loss = 89426.773, time = 2.037 s
191/1000, sim loss = 587.273, time = 0.252 s
192/1000, rel loss = 88859.411, time = 2.037 s
193/1000, sim loss = 585.583, time = 0.252 s
194/1000, rel loss = 88368.126, time = 2.025 s
195/1000, sim loss = 583.942, time = 0.258 s
196/1000, rel loss = 87742.559, time = 2.037 s
197/1000, sim loss = 582.352, time = 0.261 s
198/1000, rel loss = 87224.461, time = 2.035 s
199/1000, sim loss = 580.776, time = 0.252 s
