**********************./dbp_wd_15k_V1***********************
neg param 0.1 ; split ; sim param 0.05 ; inner sim param 0.05
ents: 15000 + 5028 = 15000
ents: 15000 + 5976 = 15000
all ents: 25500
all rels: 253 144 397
all triples: 38421 + 40159 = 78580
To align: 10500
sparse sim mat to sparse tensor
sparse sim mat to sparse tensor
sparse sim mat to sparse tensor
123/1000, sim loss = 609.844, time = 0.414 s
124/1000, rel loss = 53533.228, time = 0.881 s
125/1000, sim loss = 608.092, time = 0.414 s
126/1000, rel loss = 52937.183, time = 0.885 s
127/1000, sim loss = 606.413, time = 0.392 s
128/1000, rel loss = 52569.474, time = 0.876 s
129/1000, sim loss = 604.772, time = 0.397 s
130/1000, rel loss = 52071.097, time = 0.879 s
131/1000, sim loss = 603.146, time = 0.398 s
132/1000, rel loss = 51553.430, time = 0.880 s
133/1000, sim loss = 601.627, time = 0.398 s
134/1000, rel loss = 51125.103, time = 0.878 s
135/1000, sim loss = 600.021, time = 0.392 s
136/1000, rel loss = 50659.080, time = 0.877 s
137/1000, sim loss = 598.515, time = 0.410 s
138/1000, rel loss = 50212.614, time = 0.883 s
139/1000, sim loss = 597.030, time = 0.402 s
140/1000, rel loss = 49757.602, time = 0.882 s
141/1000, sim loss = 595.582, time = 0.406 s
142/1000, rel loss = 49350.599, time = 0.877 s
143/1000, sim loss = 594.026, time = 0.406 s
144/1000, rel loss = 48882.837, time = 0.876 s
145/1000, sim loss = 592.632, time = 0.421 s
146/1000, rel loss = 48455.709, time = 0.881 s
147/1000, sim loss = 591.176, time = 0.396 s
148/1000, rel loss = 48071.927, time = 0.880 s
149/1000, sim loss = 589.726, time = 0.431 s
150/1000, rel loss = 47658.979, time = 0.879 s
151/1000, sim loss = 588.392, time = 0.405 s
152/1000, rel loss = 47286.798, time = 0.874 s
153/1000, sim loss = 586.963, time = 0.406 s
154/1000, rel loss = 46859.738, time = 0.881 s
155/1000, sim loss = 585.641, time = 0.400 s
156/1000, rel loss = 46532.266, time = 0.895 s
157/1000, sim loss = 584.354, time = 0.404 s
158/1000, rel loss = 46112.055, time = 0.909 s
159/1000, sim loss = 583.080, time = 0.399 s
160/1000, rel loss = 45751.877, time = 0.908 s
161/1000, sim loss = 581.812, time = 0.422 s
162/1000, rel loss = 45440.001, time = 0.902 s
163/1000, sim loss = 580.513, time = 0.416 s
164/1000, rel loss = 45043.935, time = 0.885 s
165/1000, sim loss = 579.259, time = 0.405 s
166/1000, rel loss = 44678.536, time = 0.902 s
167/1000, sim loss = 578.061, time = 0.397 s
168/1000, rel loss = 44330.665, time = 0.887 s
169/1000, sim loss = 576.902, time = 0.395 s
170/1000, rel loss = 44025.716, time = 0.887 s
171/1000, sim loss = 575.789, time = 0.400 s
172/1000, rel loss = 43669.888, time = 0.876 s
173/1000, sim loss = 574.575, time = 0.395 s
174/1000, rel loss = 43308.750, time = 0.876 s
175/1000, sim loss = 573.429, time = 0.402 s
176/1000, rel loss = 43031.128, time = 0.881 s
177/1000, sim loss = 572.355, time = 0.402 s
178/1000, rel loss = 42672.753, time = 0.881 s
179/1000, sim loss = 571.230, time = 0.397 s
180/1000, rel loss = 42415.705, time = 0.878 s
181/1000, sim loss = 570.133, time = 0.397 s
182/1000, rel loss = 42042.479, time = 0.877 s
183/1000, sim loss = 569.025, time = 0.408 s
184/1000, rel loss = 41745.376, time = 0.884 s
185/1000, sim loss = 567.997, time = 0.406 s
186/1000, rel loss = 41462.198, time = 0.884 s
187/1000, sim loss = 566.923, time = 0.410 s
188/1000, rel loss = 41185.607, time = 0.880 s
189/1000, sim loss = 565.858, time = 0.404 s
190/1000, rel loss = 40899.304, time = 0.875 s
191/1000, sim loss = 564.879, time = 0.395 s
192/1000, rel loss = 40617.192, time = 0.882 s
193/1000, sim loss = 563.838, time = 0.401 s
194/1000, rel loss = 40308.142, time = 0.877 s
195/1000, sim loss = 562.863, time = 0.393 s
196/1000, rel loss = 40051.203, time = 0.880 s
197/1000, sim loss = 561.951, time = 0.398 s
198/1000, rel loss = 39749.565, time = 0.894 s
199/1000, sim loss = 560.947, time = 0.402 s
200/1000, rel loss = 39503.147, time = 0.921 s
201/1000, sim loss = 560.067, time = 0.403 s
202/1000, rel loss = 39199.337, time = 0.903 s
203/1000, sim loss = 559.046, time = 0.410 s
204/1000, rel loss = 39043.751, time = 0.888 s
205/1000, sim loss = 558.140, time = 0.437 s
206/1000, rel loss = 38759.126, time = 0.900 s
207/1000, sim loss = 557.236, time = 0.420 s
208/1000, rel loss = 38507.828, time = 0.912 s
209/1000, sim loss = 556.315, time = 0.412 s
210/1000, rel loss = 38185.955, time = 0.926 s
211/1000, sim loss = 555.504, time = 0.420 s
212/1000, rel loss = 38020.789, time = 0.886 s
213/1000, sim loss = 554.595, time = 0.417 s
214/1000, rel loss = 37841.992, time = 0.900 s
215/1000, sim loss = 553.769, time = 0.396 s
216/1000, rel loss = 37533.156, time = 0.916 s
217/1000, sim loss = 552.868, time = 0.393 s
218/1000, rel loss = 37309.322, time = 0.920 s
219/1000, sim loss = 552.110, time = 0.399 s
220/1000, rel loss = 37044.574, time = 0.893 s
221/1000, sim loss = 551.269, time = 0.406 s
222/1000, rel loss = 36899.513, time = 0.889 s
223/1000, sim loss = 550.401, time = 0.406 s
224/1000, rel loss = 36635.139, time = 0.917 s
225/1000, sim loss = 549.624, time = 0.398 s
226/1000, rel loss = 36423.013, time = 0.903 s
227/1000, sim loss = 548.831, time = 0.403 s
228/1000, rel loss = 36217.919, time = 0.893 s
229/1000, sim loss = 548.045, time = 0.398 s
230/1000, rel loss = 36003.332, time = 0.894 s
231/1000, sim loss = 547.296, time = 0.401 s
232/1000, rel loss = 35721.465, time = 0.886 s
233/1000, sim loss = 546.596, time = 0.402 s
234/1000, rel loss = 35590.460, time = 0.886 s
235/1000, sim loss = 545.748, time = 0.396 s
236/1000, rel loss = 35323.617, time = 0.892 s
237/1000, sim loss = 545.011, time = 0.408 s
238/1000, rel loss = 35119.146, time = 0.900 s
239/1000, sim loss = 544.262, time = 0.408 s
240/1000, rel loss = 34891.387, time = 0.884 s
241/1000, sim loss = 543.508, time = 0.428 s
242/1000, rel loss = 34738.684, time = 0.891 s
243/1000, sim loss = 542.789, time = 0.401 s
244/1000, rel loss = 34511.942, time = 0.880 s
245/1000, sim loss = 542.076, time = 0.403 s
246/1000, rel loss = 34276.238, time = 0.899 s
247/1000, sim loss = 541.386, time = 0.413 s
248/1000, rel loss = 34176.587, time = 0.890 s
249/1000, sim loss = 540.677, time = 0.396 s
250/1000, rel loss = 33996.525, time = 0.910 s
251/1000, sim loss = 539.964, time = 0.396 s
252/1000, rel loss = 33790.245, time = 0.949 s
253/1000, sim loss = 539.345, time = 0.408 s
254/1000, rel loss = 33626.847, time = 0.879 s
255/1000, sim loss = 538.658, time = 0.395 s
256/1000, rel loss = 33404.857, time = 0.880 s
257/1000, sim loss = 538.023, time = 0.402 s
258/1000, rel loss = 33207.392, time = 0.879 s
259/1000, sim loss = 537.337, time = 0.411 s
260/1000, rel loss = 33104.516, time = 0.883 s
261/1000, sim loss = 536.730, time = 0.401 s
262/1000, rel loss = 32939.177, time = 0.878 s
263/1000, sim loss = 536.060, time = 0.404 s
264/1000, rel loss = 32692.503, time = 0.888 s
265/1000, sim loss = 535.434, time = 0.402 s
266/1000, rel loss = 32456.989, time = 0.886 s
267/1000, sim loss = 534.862, time = 0.396 s
268/1000, rel loss = 32370.553, time = 0.878 s
269/1000, sim loss = 534.188, time = 0.409 s
270/1000, rel loss = 32186.219, time = 0.882 s
271/1000, sim loss = 533.621, time = 0.415 s
272/1000, rel loss = 32072.840, time = 0.882 s
273/1000, sim loss = 533.023, time = 0.394 s
274/1000, rel loss = 31892.774, time = 0.875 s
275/1000, sim loss = 532.413, time = 0.394 s
276/1000, rel loss = 31733.181, time = 0.879 s
277/1000, sim loss = 531.835, time = 0.408 s
278/1000, rel loss = 31575.439, time = 0.885 s
279/1000, sim loss = 531.225, time = 0.401 s
280/1000, rel loss = 31430.460, time = 0.876 s
281/1000, sim loss = 530.690, time = 0.425 s
282/1000, rel loss = 31239.150, time = 0.880 s
283/1000, sim loss = 530.107, time = 0.420 s
284/1000, rel loss = 31142.221, time = 0.879 s
285/1000, sim loss = 529.537, time = 0.417 s
286/1000, rel loss = 30896.494, time = 0.883 s
287/1000, sim loss = 528.982, time = 0.406 s
288/1000, rel loss = 30751.430, time = 0.880 s
289/1000, sim loss = 528.467, time = 0.397 s
290/1000, rel loss = 30623.524, time = 0.881 s
291/1000, sim loss = 527.906, time = 0.394 s
292/1000, rel loss = 30476.858, time = 0.881 s
293/1000, sim loss = 527.385, time = 0.401 s
294/1000, rel loss = 30268.716, time = 0.877 s
295/1000, sim loss = 526.873, time = 0.395 s
296/1000, rel loss = 30168.541, time = 0.878 s
297/1000, sim loss = 526.357, time = 0.401 s
298/1000, rel loss = 30007.400, time = 0.885 s
299/1000, sim loss = 525.823, time = 0.408 s
300/1000, rel loss = 29904.516, time = 0.878 s
X-EN: acc of top [1, 10, 50, 100] = [ 0.1874  0.4405  0.6653  0.7518], mean = 234.781, mrr = 0.272, time = 5.638 s 
EN-X: acc of top [1, 10, 50, 100] = [ 0.2138  0.4432  0.6604  0.7493], mean = 238.484, mrr = 0.292, time = 5.649 s 
301/1000, sim loss = 525.312, time = 0.401 s
302/1000, rel loss = 29770.349, time = 0.877 s
303/1000, sim loss = 524.818, time = 0.397 s
304/1000, rel loss = 29717.294, time = 0.879 s
305/1000, sim loss = 524.309, time = 0.392 s
306/1000, rel loss = 29442.285, time = 0.882 s
307/1000, sim loss = 523.852, time = 0.402 s
308/1000, rel loss = 29323.153, time = 0.878 s
309/1000, sim loss = 523.349, time = 0.408 s
310/1000, rel loss = 29225.113, time = 0.880 s
311/1000, sim loss = 522.816, time = 0.408 s
312/1000, rel loss = 29137.015, time = 0.876 s
313/1000, sim loss = 522.357, time = 0.395 s
314/1000, rel loss = 28994.495, time = 0.881 s
315/1000, sim loss = 521.880, time = 0.406 s
316/1000, rel loss = 28810.159, time = 0.883 s
317/1000, sim loss = 521.432, time = 0.404 s
318/1000, rel loss = 28702.863, time = 0.879 s
319/1000, sim loss = 520.963, time = 0.395 s
320/1000, rel loss = 28566.417, time = 0.877 s
321/1000, sim loss = 520.539, time = 0.430 s
322/1000, rel loss = 28397.221, time = 0.885 s
323/1000, sim loss = 520.082, time = 0.397 s
324/1000, rel loss = 28329.074, time = 0.877 s
325/1000, sim loss = 519.636, time = 0.405 s
326/1000, rel loss = 28237.952, time = 0.881 s
327/1000, sim loss = 519.184, time = 0.399 s
328/1000, rel loss = 28122.868, time = 0.886 s
329/1000, sim loss = 518.761, time = 0.404 s
330/1000, rel loss = 27870.296, time = 0.876 s
331/1000, sim loss = 518.305, time = 0.409 s
332/1000, rel loss = 27839.365, time = 0.881 s
333/1000, sim loss = 517.884, time = 0.408 s
334/1000, rel loss = 27725.902, time = 0.877 s
335/1000, sim loss = 517.426, time = 0.396 s
336/1000, rel loss = 27564.572, time = 0.883 s
337/1000, sim loss = 517.005, time = 0.408 s
338/1000, rel loss = 27454.795, time = 0.877 s
339/1000, sim loss = 516.578, time = 0.400 s
340/1000, rel loss = 27350.921, time = 0.878 s
341/1000, sim loss = 516.179, time = 0.399 s
342/1000, rel loss = 27274.446, time = 0.874 s
343/1000, sim loss = 515.778, time = 0.402 s
344/1000, rel loss = 27114.231, time = 0.880 s
345/1000, sim loss = 515.357, time = 0.401 s
346/1000, rel loss = 27071.492, time = 0.880 s
347/1000, sim loss = 514.968, time = 0.414 s
348/1000, rel loss = 26901.879, time = 0.891 s
349/1000, sim loss = 514.576, time = 0.404 s
350/1000, rel loss = 26822.376, time = 0.878 s
351/1000, sim loss = 514.196, time = 0.405 s
352/1000, rel loss = 26697.825, time = 0.878 s
353/1000, sim loss = 513.774, time = 0.405 s
354/1000, rel loss = 26641.228, time = 0.882 s
355/1000, sim loss = 513.387, time = 0.411 s
356/1000, rel loss = 26441.122, time = 0.881 s
357/1000, sim loss = 512.996, time = 0.401 s
358/1000, rel loss = 26346.461, time = 0.875 s
359/1000, sim loss = 512.634, time = 0.404 s
360/1000, rel loss = 26297.002, time = 0.884 s
361/1000, sim loss = 512.244, time = 0.394 s
