17-02-21

129/1000, sim loss = 756.268, time = 0.214 s
130/1000, rel loss = 94011.074, time = 1.451 s
131/1000, sim loss = 752.129, time = 0.212 s
132/1000, rel loss = 93047.513, time = 1.460 s
133/1000, sim loss = 748.093, time = 0.211 s
134/1000, rel loss = 92106.576, time = 1.460 s
135/1000, sim loss = 744.139, time = 0.214 s
136/1000, rel loss = 91215.531, time = 1.449 s
137/1000, sim loss = 740.250, time = 0.210 s
138/1000, rel loss = 90323.162, time = 1.448 s
139/1000, sim loss = 736.448, time = 0.214 s
140/1000, rel loss = 89432.415, time = 1.460 s
141/1000, sim loss = 732.718, time = 0.212 s
142/1000, rel loss = 88519.584, time = 1.463 s
143/1000, sim loss = 729.093, time = 0.210 s
144/1000, rel loss = 87681.143, time = 1.479 s
145/1000, sim loss = 725.515, time = 0.217 s
146/1000, rel loss = 86843.812, time = 1.469 s
147/1000, sim loss = 722.012, time = 0.212 s
148/1000, rel loss = 86081.737, time = 1.478 s
149/1000, sim loss = 718.569, time = 0.212 s
150/1000, rel loss = 85280.111, time = 1.452 s
151/1000, sim loss = 715.195, time = 0.219 s
152/1000, rel loss = 84518.060, time = 1.453 s
153/1000, sim loss = 711.898, time = 0.214 s
154/1000, rel loss = 83720.845, time = 1.462 s
155/1000, sim loss = 708.659, time = 0.211 s
156/1000, rel loss = 82954.561, time = 1.454 s
157/1000, sim loss = 705.479, time = 0.211 s
158/1000, rel loss = 82258.289, time = 1.455 s
159/1000, sim loss = 702.376, time = 0.217 s
160/1000, rel loss = 81500.492, time = 1.449 s
161/1000, sim loss = 699.297, time = 0.212 s
162/1000, rel loss = 80868.462, time = 1.441 s
163/1000, sim loss = 696.295, time = 0.214 s
164/1000, rel loss = 80133.814, time = 1.461 s
165/1000, sim loss = 693.359, time = 0.219 s
166/1000, rel loss = 79515.385, time = 1.459 s
167/1000, sim loss = 690.486, time = 0.214 s
168/1000, rel loss = 78839.567, time = 1.490 s
169/1000, sim loss = 687.666, time = 0.219 s
170/1000, rel loss = 78153.470, time = 1.453 s
171/1000, sim loss = 684.885, time = 0.212 s
172/1000, rel loss = 77561.918, time = 1.456 s
173/1000, sim loss = 682.165, time = 0.211 s
174/1000, rel loss = 76891.714, time = 1.448 s
175/1000, sim loss = 679.471, time = 0.213 s
176/1000, rel loss = 76320.331, time = 1.466 s
177/1000, sim loss = 676.874, time = 0.212 s
178/1000, rel loss = 75630.553, time = 1.467 s
179/1000, sim loss = 674.311, time = 0.211 s
180/1000, rel loss = 75159.505, time = 1.459 s
181/1000, sim loss = 671.788, time = 0.214 s
182/1000, rel loss = 74558.547, time = 1.476 s
183/1000, sim loss = 669.312, time = 0.210 s
184/1000, rel loss = 73984.490, time = 1.453 s
185/1000, sim loss = 666.853, time = 0.210 s
186/1000, rel loss = 73430.094, time = 1.462 s
187/1000, sim loss = 664.429, time = 0.212 s
188/1000, rel loss = 72824.226, time = 1.460 s
189/1000, sim loss = 662.066, time = 0.214 s
190/1000, rel loss = 72380.358, time = 1.471 s
191/1000, sim loss = 659.729, time = 0.212 s
192/1000, rel loss = 71799.803, time = 1.457 s
193/1000, sim loss = 657.462, time = 0.212 s
194/1000, rel loss = 71246.699, time = 1.467 s
195/1000, sim loss = 655.201, time = 0.214 s
196/1000, rel loss = 70728.049, time = 1.467 s
197/1000, sim loss = 652.985, time = 0.214 s
198/1000, rel loss = 70289.684, time = 1.466 s
199/1000, sim loss = 650.830, time = 0.212 s
200/1000, rel loss = 69769.514, time = 1.454 s
201/1000, sim loss = 648.707, time = 0.211 s
202/1000, rel loss = 69257.158, time = 1.449 s
203/1000, sim loss = 646.612, time = 0.217 s
204/1000, rel loss = 68825.415, time = 1.457 s
205/1000, sim loss = 644.542, time = 0.214 s
206/1000, rel loss = 68293.727, time = 1.464 s
207/1000, sim loss = 642.536, time = 0.212 s
208/1000, rel loss = 67836.248, time = 1.457 s
209/1000, sim loss = 640.558, time = 0.213 s
210/1000, rel loss = 67370.322, time = 1.468 s
211/1000, sim loss = 638.584, time = 0.212 s
212/1000, rel loss = 66983.433, time = 1.460 s
213/1000, sim loss = 636.658, time = 0.221 s
214/1000, rel loss = 66540.240, time = 1.459 s
215/1000, sim loss = 634.793, time = 0.215 s
216/1000, rel loss = 66058.591, time = 1.477 s
217/1000, sim loss = 632.935, time = 0.214 s
218/1000, rel loss = 65648.630, time = 1.460 s
219/1000, sim loss = 631.107, time = 0.213 s
220/1000, rel loss = 65230.169, time = 1.466 s
221/1000, sim loss = 629.303, time = 0.214 s
222/1000, rel loss = 64863.806, time = 1.471 s
223/1000, sim loss = 627.536, time = 0.211 s
224/1000, rel loss = 64405.910, time = 1.470 s
225/1000, sim loss = 625.778, time = 0.218 s
226/1000, rel loss = 64074.090, time = 1.458 s
227/1000, sim loss = 624.028, time = 0.213 s
228/1000, rel loss = 63609.478, time = 1.465 s
229/1000, sim loss = 622.344, time = 0.210 s
230/1000, rel loss = 63223.746, time = 1.461 s
231/1000, sim loss = 620.687, time = 0.212 s
232/1000, rel loss = 62880.811, time = 1.471 s
233/1000, sim loss = 619.059, time = 0.219 s
234/1000, rel loss = 62496.965, time = 1.460 s
235/1000, sim loss = 617.470, time = 0.214 s
236/1000, rel loss = 62074.641, time = 1.463 s
237/1000, sim loss = 615.877, time = 0.212 s
238/1000, rel loss = 61735.177, time = 1.459 s
239/1000, sim loss = 614.314, time = 0.217 s
240/1000, rel loss = 61383.493, time = 1.458 s
241/1000, sim loss = 612.794, time = 0.216 s
242/1000, rel loss = 61073.235, time = 1.451 s
243/1000, sim loss = 611.275, time = 0.211 s
244/1000, rel loss = 60673.992, time = 1.474 s
245/1000, sim loss = 609.775, time = 0.214 s
246/1000, rel loss = 60352.526, time = 1.462 s
247/1000, sim loss = 608.313, time = 0.218 s
248/1000, rel loss = 59995.544, time = 1.459 s
249/1000, sim loss = 606.874, time = 0.214 s
250/1000, rel loss = 59614.845, time = 1.458 s
251/1000, sim loss = 605.448, time = 0.219 s
252/1000, rel loss = 59363.456, time = 1.456 s
253/1000, sim loss = 604.037, time = 0.214 s
254/1000, rel loss = 59006.534, time = 1.466 s
255/1000, sim loss = 602.677, time = 0.217 s
256/1000, rel loss = 58681.485, time = 1.465 s
257/1000, sim loss = 601.320, time = 0.212 s
258/1000, rel loss = 58398.835, time = 1.458 s
259/1000, sim loss = 599.976, time = 0.214 s
260/1000, rel loss = 58030.958, time = 1.464 s
261/1000, sim loss = 598.658, time = 0.215 s
262/1000, rel loss = 57832.025, time = 1.456 s
263/1000, sim loss = 597.360, time = 0.213 s
264/1000, rel loss = 57468.010, time = 1.471 s
265/1000, sim loss = 596.062, time = 0.211 s
266/1000, rel loss = 57162.528, time = 1.456 s
267/1000, sim loss = 594.789, time = 0.216 s
268/1000, rel loss = 56857.264, time = 1.457 s
269/1000, sim loss = 593.534, time = 0.215 s
270/1000, rel loss = 56564.470, time = 1.477 s
271/1000, sim loss = 592.305, time = 0.211 s
272/1000, rel loss = 56338.440, time = 1.463 s
273/1000, sim loss = 591.078, time = 0.212 s
274/1000, rel loss = 56029.401, time = 1.463 s
275/1000, sim loss = 589.888, time = 0.217 s
276/1000, rel loss = 55813.494, time = 1.458 s
277/1000, sim loss = 588.695, time = 0.211 s
278/1000, rel loss = 55526.691, time = 1.454 s
279/1000, sim loss = 587.548, time = 0.216 s
280/1000, rel loss = 55227.892, time = 1.464 s
281/1000, sim loss = 586.390, time = 0.218 s
282/1000, rel loss = 54952.323, time = 1.458 s
283/1000, sim loss = 585.252, time = 0.211 s
284/1000, rel loss = 54727.156, time = 1.514 s
285/1000, sim loss = 584.128, time = 0.214 s
286/1000, rel loss = 54511.712, time = 1.451 s
287/1000, sim loss = 583.025, time = 0.211 s
288/1000, rel loss = 54186.313, time = 1.462 s
289/1000, sim loss = 581.932, time = 0.211 s
290/1000, rel loss = 53971.541, time = 1.476 s
291/1000, sim loss = 580.846, time = 0.211 s
292/1000, rel loss = 53699.534, time = 1.455 s
293/1000, sim loss = 579.784, time = 0.212 s
294/1000, rel loss = 53454.862, time = 1.465 s
295/1000, sim loss = 578.746, time = 0.211 s
296/1000, rel loss = 53195.648, time = 1.452 s
297/1000, sim loss = 577.710, time = 0.215 s
298/1000, rel loss = 52911.307, time = 1.466 s
299/1000, sim loss = 576.690, time = 0.218 s
300/1000, rel loss = 52776.781, time = 1.456 s
X-EN: acc of top [1, 10, 50, 100] = [ 0.4083  0.7288  0.8732  0.9163], mean = 85.291, mrr = 0.517, time = 5.730 s 
EN-X: acc of top [1, 10, 50, 100] = [ 0.3927  0.705   0.8576  0.903 ], mean = 90.279, mrr = 0.498, time = 5.575 s 
301/1000, sim loss = 575.708, time = 0.219 s
302/1000, rel loss = 52470.898, time = 1.482 s
303/1000, sim loss = 574.729, time = 0.214 s
304/1000, rel loss = 52225.181, time = 1.484 s
305/1000, sim loss = 573.754, time = 0.216 s
306/1000, rel loss = 52040.019, time = 1.490 s
