**********************./dbp_yg_15k_V1***********************
neg param 0.1 ; split ; sim param 0.05 ; inner sim param 0.05
ents: 15000 + 3818 = 15000
ents: 15000 + 3357 = 15000
all ents: 25500
all rels: 223 30 253
all triples: 33748 + 36569 = 70317
To align: 10500
sparse sim mat to sparse tensor
sparse sim mat to sparse tensor
sparse sim mat to sparse tensor
123/1000, sim loss = 592.246, time = 0.290 s
124/1000, rel loss = 50863.415, time = 0.863 s
125/1000, sim loss = 591.396, time = 0.291 s
126/1000, rel loss = 50303.416, time = 0.866 s
127/1000, sim loss = 590.573, time = 0.292 s
128/1000, rel loss = 49778.498, time = 0.871 s
129/1000, sim loss = 589.764, time = 0.291 s
130/1000, rel loss = 49235.616, time = 0.864 s
131/1000, sim loss = 588.980, time = 0.290 s
132/1000, rel loss = 48764.383, time = 0.867 s
133/1000, sim loss = 588.212, time = 0.291 s
134/1000, rel loss = 48267.256, time = 0.865 s
135/1000, sim loss = 587.462, time = 0.291 s
136/1000, rel loss = 47766.275, time = 0.862 s
137/1000, sim loss = 586.722, time = 0.292 s
138/1000, rel loss = 47291.673, time = 0.867 s
139/1000, sim loss = 585.999, time = 0.288 s
140/1000, rel loss = 46783.860, time = 0.871 s
141/1000, sim loss = 585.285, time = 0.290 s
142/1000, rel loss = 46367.981, time = 0.869 s
143/1000, sim loss = 584.591, time = 0.290 s
144/1000, rel loss = 45922.832, time = 0.867 s
145/1000, sim loss = 583.913, time = 0.291 s
146/1000, rel loss = 45474.075, time = 0.867 s
147/1000, sim loss = 583.240, time = 0.290 s
148/1000, rel loss = 45071.945, time = 0.860 s
149/1000, sim loss = 582.582, time = 0.291 s
150/1000, rel loss = 44636.463, time = 0.866 s
151/1000, sim loss = 581.950, time = 0.294 s
152/1000, rel loss = 44206.105, time = 0.870 s
153/1000, sim loss = 581.325, time = 0.291 s
154/1000, rel loss = 43796.499, time = 0.864 s
155/1000, sim loss = 580.708, time = 0.291 s
156/1000, rel loss = 43394.058, time = 0.875 s
157/1000, sim loss = 580.103, time = 0.291 s
158/1000, rel loss = 43010.059, time = 0.861 s
159/1000, sim loss = 579.502, time = 0.291 s
160/1000, rel loss = 42604.775, time = 0.866 s
161/1000, sim loss = 578.922, time = 0.292 s
162/1000, rel loss = 42209.413, time = 0.873 s
163/1000, sim loss = 578.352, time = 0.292 s
164/1000, rel loss = 41831.012, time = 0.865 s
165/1000, sim loss = 577.794, time = 0.292 s
166/1000, rel loss = 41455.828, time = 0.860 s
167/1000, sim loss = 577.247, time = 0.290 s
168/1000, rel loss = 41139.930, time = 0.871 s
169/1000, sim loss = 576.703, time = 0.289 s
170/1000, rel loss = 40765.476, time = 0.869 s
171/1000, sim loss = 576.158, time = 0.291 s
172/1000, rel loss = 40439.378, time = 0.868 s
173/1000, sim loss = 575.626, time = 0.290 s
174/1000, rel loss = 40109.354, time = 0.871 s
175/1000, sim loss = 575.101, time = 0.289 s
176/1000, rel loss = 39747.574, time = 0.865 s
177/1000, sim loss = 574.606, time = 0.291 s
178/1000, rel loss = 39399.827, time = 0.867 s
179/1000, sim loss = 574.115, time = 0.291 s
180/1000, rel loss = 39095.425, time = 0.872 s
181/1000, sim loss = 573.634, time = 0.292 s
182/1000, rel loss = 38790.419, time = 0.859 s
183/1000, sim loss = 573.148, time = 0.294 s
184/1000, rel loss = 38422.294, time = 0.864 s
185/1000, sim loss = 572.676, time = 0.291 s
186/1000, rel loss = 38148.363, time = 0.866 s
187/1000, sim loss = 572.216, time = 0.291 s
188/1000, rel loss = 37859.117, time = 0.867 s
189/1000, sim loss = 571.756, time = 0.292 s
190/1000, rel loss = 37559.767, time = 0.865 s
191/1000, sim loss = 571.311, time = 0.290 s
192/1000, rel loss = 37257.944, time = 0.871 s
193/1000, sim loss = 570.871, time = 0.289 s
194/1000, rel loss = 36970.582, time = 0.858 s
195/1000, sim loss = 570.447, time = 0.291 s
196/1000, rel loss = 36691.937, time = 0.872 s
197/1000, sim loss = 570.024, time = 0.293 s
198/1000, rel loss = 36400.022, time = 0.868 s
199/1000, sim loss = 569.604, time = 0.291 s
200/1000, rel loss = 36124.579, time = 0.862 s
201/1000, sim loss = 569.200, time = 0.292 s
202/1000, rel loss = 35879.639, time = 0.869 s
203/1000, sim loss = 568.801, time = 0.292 s
204/1000, rel loss = 35603.882, time = 0.865 s
205/1000, sim loss = 568.401, time = 0.289 s
206/1000, rel loss = 35344.601, time = 0.872 s
207/1000, sim loss = 568.011, time = 0.290 s
208/1000, rel loss = 35091.221, time = 0.861 s
209/1000, sim loss = 567.645, time = 0.288 s
210/1000, rel loss = 34831.022, time = 0.866 s
211/1000, sim loss = 567.262, time = 0.293 s
212/1000, rel loss = 34584.738, time = 0.865 s
213/1000, sim loss = 566.880, time = 0.293 s
214/1000, rel loss = 34337.375, time = 0.861 s
215/1000, sim loss = 566.523, time = 0.292 s
216/1000, rel loss = 34056.126, time = 0.870 s
217/1000, sim loss = 566.171, time = 0.290 s
218/1000, rel loss = 33853.633, time = 0.866 s
219/1000, sim loss = 565.820, time = 0.293 s
220/1000, rel loss = 33613.903, time = 0.862 s
221/1000, sim loss = 565.481, time = 0.290 s
222/1000, rel loss = 33382.694, time = 0.868 s
223/1000, sim loss = 565.139, time = 0.291 s
224/1000, rel loss = 33128.424, time = 0.865 s
225/1000, sim loss = 564.796, time = 0.292 s
226/1000, rel loss = 32930.914, time = 0.873 s
227/1000, sim loss = 564.456, time = 0.290 s
228/1000, rel loss = 32683.035, time = 0.861 s
