**************************./fb_dbp**************************
neg param 0.1 ; split ; sim param 0.05 ; inner sim param 0.05
ents: 25457 + 23270 = 25542
ents: 28502 + 10810 = 29861
all ents: 47661
all rels: 882 407 1289
all triples: 111974 + 96414 = 208388
To align: 17800
sparse sim mat to sparse tensor
sparse sim mat to sparse tensor
sparse sim mat to sparse tensor
121/1000, sim loss = 1011.868, time = 0.248 s
122/1000, rel loss = 141067.480, time = 1.844 s
123/1000, sim loss = 1009.583, time = 0.264 s
124/1000, rel loss = 139510.765, time = 1.866 s
125/1000, sim loss = 1007.334, time = 0.250 s
126/1000, rel loss = 138170.650, time = 1.864 s
127/1000, sim loss = 1005.161, time = 0.251 s
128/1000, rel loss = 136739.373, time = 1.875 s
129/1000, sim loss = 1003.047, time = 0.249 s
130/1000, rel loss = 135343.989, time = 1.868 s
131/1000, sim loss = 1001.021, time = 0.259 s
132/1000, rel loss = 133979.991, time = 1.879 s
133/1000, sim loss = 999.056, time = 0.257 s
134/1000, rel loss = 132645.024, time = 1.855 s
135/1000, sim loss = 997.151, time = 0.251 s
136/1000, rel loss = 131234.127, time = 1.902 s
137/1000, sim loss = 995.312, time = 0.264 s
138/1000, rel loss = 130131.084, time = 1.855 s
139/1000, sim loss = 993.434, time = 0.262 s
140/1000, rel loss = 128690.009, time = 1.875 s
141/1000, sim loss = 991.716, time = 0.251 s
142/1000, rel loss = 127526.323, time = 1.850 s
143/1000, sim loss = 989.963, time = 0.249 s
144/1000, rel loss = 126343.689, time = 1.885 s
145/1000, sim loss = 988.279, time = 0.261 s
146/1000, rel loss = 125242.885, time = 1.875 s
147/1000, sim loss = 986.655, time = 0.261 s
148/1000, rel loss = 124024.868, time = 1.875 s
149/1000, sim loss = 985.062, time = 0.264 s
150/1000, rel loss = 122872.176, time = 1.856 s
151/1000, sim loss = 983.483, time = 0.248 s
152/1000, rel loss = 121788.161, time = 1.850 s
153/1000, sim loss = 981.944, time = 0.264 s
154/1000, rel loss = 120747.445, time = 1.858 s
155/1000, sim loss = 980.460, time = 0.263 s
156/1000, rel loss = 119683.000, time = 1.870 s
157/1000, sim loss = 979.006, time = 0.257 s
158/1000, rel loss = 118615.832, time = 1.864 s
159/1000, sim loss = 977.583, time = 0.257 s
160/1000, rel loss = 117552.702, time = 1.862 s
161/1000, sim loss = 976.176, time = 0.248 s
162/1000, rel loss = 116596.660, time = 1.852 s
163/1000, sim loss = 974.845, time = 0.251 s
164/1000, rel loss = 115510.668, time = 1.867 s
165/1000, sim loss = 973.448, time = 0.251 s
166/1000, rel loss = 114653.604, time = 1.865 s
167/1000, sim loss = 972.117, time = 0.264 s
168/1000, rel loss = 113726.443, time = 1.876 s
169/1000, sim loss = 970.776, time = 0.258 s
170/1000, rel loss = 112725.964, time = 1.874 s
171/1000, sim loss = 969.488, time = 0.256 s
172/1000, rel loss = 111845.405, time = 1.867 s
173/1000, sim loss = 968.221, time = 0.257 s
174/1000, rel loss = 111049.271, time = 1.877 s
175/1000, sim loss = 967.009, time = 0.261 s
176/1000, rel loss = 110160.198, time = 1.848 s
177/1000, sim loss = 965.831, time = 0.260 s
178/1000, rel loss = 109277.699, time = 1.866 s
179/1000, sim loss = 964.653, time = 0.264 s
180/1000, rel loss = 108465.713, time = 1.868 s
181/1000, sim loss = 963.577, time = 0.246 s
182/1000, rel loss = 107516.268, time = 1.875 s
183/1000, sim loss = 962.456, time = 0.250 s
184/1000, rel loss = 106837.017, time = 1.868 s
185/1000, sim loss = 961.408, time = 0.260 s
186/1000, rel loss = 106071.349, time = 1.860 s
187/1000, sim loss = 960.341, time = 0.263 s
188/1000, rel loss = 105328.804, time = 1.866 s
189/1000, sim loss = 959.298, time = 0.261 s
190/1000, rel loss = 104566.898, time = 1.838 s
191/1000, sim loss = 958.302, time = 0.250 s
192/1000, rel loss = 103697.107, time = 1.852 s
193/1000, sim loss = 957.316, time = 0.259 s
194/1000, rel loss = 103060.286, time = 1.876 s
195/1000, sim loss = 956.344, time = 0.253 s
196/1000, rel loss = 102311.074, time = 1.848 s
197/1000, sim loss = 955.427, time = 0.250 s
198/1000, rel loss = 101527.686, time = 1.867 s
199/1000, sim loss = 954.434, time = 0.262 s
200/1000, rel loss = 100904.572, time = 1.867 s
201/1000, sim loss = 953.484, time = 0.266 s
202/1000, rel loss = 100136.035, time = 1.872 s
203/1000, sim loss = 952.610, time = 0.265 s
204/1000, rel loss = 99527.797, time = 1.848 s
205/1000, sim loss = 951.727, time = 0.244 s
206/1000, rel loss = 98813.340, time = 1.883 s
207/1000, sim loss = 950.847, time = 0.258 s
208/1000, rel loss = 98251.729, time = 1.871 s
209/1000, sim loss = 949.997, time = 0.250 s
210/1000, rel loss = 97497.718, time = 1.872 s
211/1000, sim loss = 949.156, time = 0.250 s
212/1000, rel loss = 96963.682, time = 1.884 s
213/1000, sim loss = 948.315, time = 0.260 s
214/1000, rel loss = 96275.688, time = 1.879 s
215/1000, sim loss = 947.547, time = 0.259 s
216/1000, rel loss = 95653.968, time = 1.872 s
217/1000, sim loss = 946.749, time = 0.252 s
218/1000, rel loss = 95110.930, time = 1.865 s
219/1000, sim loss = 945.961, time = 0.248 s
220/1000, rel loss = 94404.117, time = 1.862 s
221/1000, sim loss = 945.187, time = 0.265 s
222/1000, rel loss = 93823.803, time = 1.879 s
223/1000, sim loss = 944.430, time = 0.249 s
224/1000, rel loss = 93228.033, time = 1.867 s
225/1000, sim loss = 943.737, time = 0.271 s
226/1000, rel loss = 92743.570, time = 1.868 s
227/1000, sim loss = 943.045, time = 0.261 s
228/1000, rel loss = 92164.454, time = 1.875 s
229/1000, sim loss = 942.323, time = 0.262 s
230/1000, rel loss = 91605.744, time = 1.861 s
231/1000, sim loss = 941.644, time = 0.262 s
232/1000, rel loss = 91076.211, time = 1.876 s
233/1000, sim loss = 940.933, time = 0.263 s
234/1000, rel loss = 90617.643, time = 1.880 s
235/1000, sim loss = 940.288, time = 0.262 s
236/1000, rel loss = 90011.555, time = 1.877 s
237/1000, sim loss = 939.618, time = 0.260 s
238/1000, rel loss = 89453.558, time = 1.880 s
239/1000, sim loss = 938.965, time = 0.262 s
240/1000, rel loss = 88964.405, time = 1.879 s
241/1000, sim loss = 938.335, time = 0.262 s
242/1000, rel loss = 88476.948, time = 1.865 s
243/1000, sim loss = 937.738, time = 0.248 s
244/1000, rel loss = 87964.771, time = 1.835 s
245/1000, sim loss = 937.101, time = 0.257 s
246/1000, rel loss = 87454.700, time = 1.907 s
247/1000, sim loss = 936.491, time = 0.265 s
248/1000, rel loss = 87073.098, time = 1.901 s
249/1000, sim loss = 935.901, time = 0.248 s
250/1000, rel loss = 86574.494, time = 1.873 s
251/1000, sim loss = 935.335, time = 0.261 s
252/1000, rel loss = 86126.806, time = 1.887 s
253/1000, sim loss = 934.749, time = 0.253 s
254/1000, rel loss = 85636.294, time = 1.853 s
255/1000, sim loss = 934.154, time = 0.248 s
256/1000, rel loss = 85116.836, time = 1.859 s
257/1000, sim loss = 933.602, time = 0.252 s
258/1000, rel loss = 84737.070, time = 1.837 s
259/1000, sim loss = 933.073, time = 0.250 s
260/1000, rel loss = 84242.865, time = 1.826 s
261/1000, sim loss = 932.573, time = 0.250 s
262/1000, rel loss = 83808.218, time = 1.840 s
263/1000, sim loss = 932.058, time = 0.249 s
264/1000, rel loss = 83397.174, time = 1.881 s
265/1000, sim loss = 931.513, time = 0.250 s
266/1000, rel loss = 83073.226, time = 1.860 s
267/1000, sim loss = 930.991, time = 0.264 s
268/1000, rel loss = 82558.676, time = 1.893 s
269/1000, sim loss = 930.483, time = 0.264 s
270/1000, rel loss = 82133.213, time = 1.861 s
271/1000, sim loss = 929.975, time = 0.252 s
272/1000, rel loss = 81733.564, time = 1.874 s
273/1000, sim loss = 929.487, time = 0.248 s
274/1000, rel loss = 81294.938, time = 1.853 s
275/1000, sim loss = 929.013, time = 0.259 s
276/1000, rel loss = 80959.386, time = 1.859 s
277/1000, sim loss = 928.536, time = 0.251 s
278/1000, rel loss = 80582.676, time = 1.856 s
279/1000, sim loss = 928.043, time = 0.251 s
280/1000, rel loss = 80235.611, time = 1.867 s
281/1000, sim loss = 927.619, time = 0.250 s
282/1000, rel loss = 79956.868, time = 1.850 s
283/1000, sim loss = 927.207, time = 0.250 s
284/1000, rel loss = 79451.120, time = 1.852 s
285/1000, sim loss = 926.783, time = 0.252 s
286/1000, rel loss = 79127.101, time = 1.864 s
287/1000, sim loss = 926.377, time = 0.261 s
288/1000, rel loss = 78686.604, time = 1.897 s
289/1000, sim loss = 925.950, time = 0.252 s
290/1000, rel loss = 78301.270, time = 1.865 s
291/1000, sim loss = 925.537, time = 0.250 s
292/1000, rel loss = 77956.389, time = 1.885 s
293/1000, sim loss = 925.130, time = 0.260 s
294/1000, rel loss = 77639.571, time = 1.877 s
295/1000, sim loss = 924.719, time = 0.261 s
296/1000, rel loss = 77217.334, time = 1.859 s
297/1000, sim loss = 924.311, time = 0.262 s
298/1000, rel loss = 76872.040, time = 1.861 s
299/1000, sim loss = 923.913, time = 0.252 s
300/1000, rel loss = 76497.956, time = 1.842 s
X-EN: acc of top [1, 10, 50, 100] = [ 0.0637  0.1881  0.383   0.5175], mean = 610.063, mrr = 0.110, time = 16.970 s 
EN-X: acc of top [1, 10, 50, 100] = [ 0.0935  0.2316  0.4353  0.5512], mean = 588.250, mrr = 0.144, time = 16.508 s 
301/1000, sim loss = 923.483, time = 0.250 s
302/1000, rel loss = 76207.730, time = 1.873 s
303/1000, sim loss = 923.086, time = 0.246 s
304/1000, rel loss = 75802.727, time = 1.863 s
305/1000, sim loss = 922.704, time = 0.246 s
306/1000, rel loss = 75457.612, time = 1.864 s
307/1000, sim loss = 922.312, time = 0.250 s
308/1000, rel loss = 75294.174, time = 1.875 s
309/1000, sim loss = 921.936, time = 0.255 s
310/1000, rel loss = 74910.036, time = 1.863 s
311/1000, sim loss = 921.630, time = 0.252 s
312/1000, rel loss = 74506.157, time = 1.911 s
313/1000, sim loss = 921.310, time = 0.255 s
314/1000, rel loss = 74229.915, time = 1.987 s
315/1000, sim loss = 920.938, time = 0.266 s
316/1000, rel loss = 74029.384, time = 2.011 s
317/1000, sim loss = 920.591, time = 0.268 s
318/1000, rel loss = 73606.785, time = 1.933 s
319/1000, sim loss = 920.273, time = 0.254 s
320/1000, rel loss = 73242.357, time = 1.917 s
321/1000, sim loss = 919.935, time = 0.266 s
322/1000, rel loss = 72896.649, time = 1.907 s
323/1000, sim loss = 919.591, time = 0.257 s
324/1000, rel loss = 72822.746, time = 1.906 s
325/1000, sim loss = 919.279, time = 0.261 s
326/1000, rel loss = 72340.904, time = 1.905 s
327/1000, sim loss = 918.945, time = 0.256 s
328/1000, rel loss = 72051.923, time = 1.932 s
329/1000, sim loss = 918.606, time = 0.256 s
330/1000, rel loss = 71819.981, time = 1.881 s
331/1000, sim loss = 918.310, time = 0.259 s
332/1000, rel loss = 71452.590, time = 1.902 s
333/1000, sim loss = 917.988, time = 0.251 s
334/1000, rel loss = 71261.057, time = 1.931 s
335/1000, sim loss = 917.706, time = 0.259 s
336/1000, rel loss = 70978.875, time = 1.943 s
337/1000, sim loss = 917.382, time = 0.270 s
338/1000, rel loss = 70663.408, time = 1.986 s
339/1000, sim loss = 917.125, time = 0.257 s
340/1000, rel loss = 70352.779, time = 1.972 s
341/1000, sim loss = 916.808, time = 0.270 s
342/1000, rel loss = 70177.107, time = 1.980 s
343/1000, sim loss = 916.456, time = 0.264 s
344/1000, rel loss = 69826.195, time = 2.028 s
345/1000, sim loss = 916.162, time = 0.266 s
346/1000, rel loss = 69556.241, time = 2.041 s
347/1000, sim loss = 915.901, time = 0.260 s
348/1000, rel loss = 69309.584, time = 1.955 s
349/1000, sim loss = 915.649, time = 0.273 s
350/1000, rel loss = 68965.761, time = 1.976 s
351/1000, sim loss = 915.361, time = 0.272 s
352/1000, rel loss = 68813.054, time = 1.935 s
353/1000, sim loss = 915.110, time = 0.286 s
354/1000, rel loss = 68448.082, time = 2.042 s
355/1000, sim loss = 914.816, time = 0.262 s
356/1000, rel loss = 68139.679, time = 2.016 s
357/1000, sim loss = 914.540, time = 0.259 s
358/1000, rel loss = 67930.696, time = 1.878 s
359/1000, sim loss = 914.242, time = 0.265 s
360/1000, rel loss = 67695.106, time = 1.954 s
361/1000, sim loss = 913.997, time = 0.305 s
362/1000, rel loss = 67568.877, time = 2.130 s
363/1000, sim loss = 913.740, time = 0.251 s
364/1000, rel loss = 67289.699, time = 1.947 s
365/1000, sim loss = 913.510, time = 0.256 s
366/1000, rel loss = 66996.034, time = 1.940 s
367/1000, sim loss = 913.291, time = 0.271 s
368/1000, rel loss = 66828.971, time = 1.911 s
369/1000, sim loss = 913.075, time = 0.263 s
370/1000, rel loss = 66494.599, time = 1.980 s
371/1000, sim loss = 912.827, time = 0.266 s
372/1000, rel loss = 66302.569, time = 1.932 s
373/1000, sim loss = 912.581, time = 0.251 s
374/1000, rel loss = 66099.175, time = 1.876 s
375/1000, sim loss = 912.361, time = 0.267 s
376/1000, rel loss = 65939.060, time = 1.917 s
377/1000, sim loss = 912.124, time = 0.287 s
378/1000, rel loss = 65587.324, time = 1.907 s
379/1000, sim loss = 911.888, time = 0.263 s
380/1000, rel loss = 65430.452, time = 1.940 s
381/1000, sim loss = 911.649, time = 0.268 s
382/1000, rel loss = 65227.820, time = 1.941 s
383/1000, sim loss = 911.414, time = 0.285 s
384/1000, rel loss = 64902.227, time = 1.963 s
385/1000, sim loss = 911.204, time = 0.261 s
386/1000, rel loss = 64792.316, time = 1.949 s
387/1000, sim loss = 910.975, time = 0.256 s
388/1000, rel loss = 64566.781, time = 1.945 s
389/1000, sim loss = 910.781, time = 0.260 s
390/1000, rel loss = 64284.759, time = 1.962 s
391/1000, sim loss = 910.568, time = 0.255 s
392/1000, rel loss = 64002.218, time = 1.948 s
393/1000, sim loss = 910.394, time = 0.249 s
394/1000, rel loss = 63922.695, time = 1.902 s
395/1000, sim loss = 910.207, time = 0.253 s
396/1000, rel loss = 63632.979, time = 1.908 s
397/1000, sim loss = 910.005, time = 0.259 s
398/1000, rel loss = 63496.314, time = 1.947 s
399/1000, sim loss = 909.790, time = 0.273 s
400/1000, rel loss = 63237.760, time = 1.950 s
X-EN: acc of top [1, 10, 50, 100] = [ 0.0654  0.1966  0.3985  0.5412], mean = 511.923, mrr = 0.113, time = 16.687 s 
EN-X: acc of top [1, 10, 50, 100] = [ 0.0932  0.2418  0.4528  0.577 ], mean = 487.397, mrr = 0.147, time = 16.644 s 
401/1000, sim loss = 909.568, time = 0.267 s
402/1000, rel loss = 63116.720, time = 1.921 s
403/1000, sim loss = 909.328, time = 0.249 s
404/1000, rel loss = 62888.112, time = 1.946 s
405/1000, sim loss = 909.129, time = 0.252 s
406/1000, rel loss = 62693.658, time = 1.961 s
407/1000, sim loss = 908.889, time = 0.265 s
408/1000, rel loss = 62404.254, time = 1.884 s
409/1000, sim loss = 908.680, time = 0.269 s
410/1000, rel loss = 62334.350, time = 1.949 s
411/1000, sim loss = 908.474, time = 0.253 s
412/1000, rel loss = 62119.450, time = 1.926 s
413/1000, sim loss = 908.300, time = 0.268 s
414/1000, rel loss = 61945.889, time = 1.906 s
415/1000, sim loss = 908.125, time = 0.258 s
416/1000, rel loss = 61806.822, time = 1.879 s
417/1000, sim loss = 907.913, time = 0.267 s
418/1000, rel loss = 61563.005, time = 1.951 s
419/1000, sim loss = 907.727, time = 0.256 s
420/1000, rel loss = 61302.321, time = 1.917 s
421/1000, sim loss = 907.520, time = 0.267 s
422/1000, rel loss = 61151.915, time = 1.959 s
423/1000, sim loss = 907.335, time = 0.263 s
424/1000, rel loss = 60934.559, time = 1.881 s
425/1000, sim loss = 907.165, time = 0.251 s
426/1000, rel loss = 60734.688, time = 1.911 s
427/1000, sim loss = 907.011, time = 0.271 s
428/1000, rel loss = 60579.225, time = 1.930 s
429/1000, sim loss = 906.847, time = 0.267 s
430/1000, rel loss = 60338.816, time = 1.960 s
431/1000, sim loss = 906.699, time = 0.264 s
432/1000, rel loss = 60222.251, time = 1.905 s
433/1000, sim loss = 906.524, time = 0.273 s
434/1000, rel loss = 60050.026, time = 2.013 s
435/1000, sim loss = 906.318, time = 0.251 s
436/1000, rel loss = 59951.061, time = 1.915 s
437/1000, sim loss = 906.159, time = 0.269 s
438/1000, rel loss = 59621.737, time = 1.940 s
439/1000, sim loss = 905.956, time = 0.266 s
440/1000, rel loss = 59470.726, time = 1.945 s
441/1000, sim loss = 905.785, time = 0.259 s
442/1000, rel loss = 59351.482, time = 1.906 s
443/1000, sim loss = 905.629, time = 0.262 s
444/1000, rel loss = 59205.730, time = 1.910 s
445/1000, sim loss = 905.491, time = 0.271 s
446/1000, rel loss = 58961.807, time = 1.928 s
447/1000, sim loss = 905.296, time = 0.263 s
448/1000, rel loss = 58806.724, time = 1.976 s
449/1000, sim loss = 905.138, time = 0.265 s
450/1000, rel loss = 58626.007, time = 1.995 s
451/1000, sim loss = 904.944, time = 0.252 s
452/1000, rel loss = 58528.314, time = 1.926 s
453/1000, sim loss = 904.774, time = 0.273 s
454/1000, rel loss = 58284.197, time = 1.926 s
455/1000, sim loss = 904.637, time = 0.292 s
456/1000, rel loss = 58209.042, time = 1.949 s
457/1000, sim loss = 904.477, time = 0.269 s
458/1000, rel loss = 57891.009, time = 1.981 s
459/1000, sim loss = 904.331, time = 0.264 s
460/1000, rel loss = 57846.699, time = 1.969 s
461/1000, sim loss = 904.169, time = 0.263 s
462/1000, rel loss = 57687.759, time = 1.979 s
463/1000, sim loss = 904.000, time = 0.274 s
464/1000, rel loss = 57602.285, time = 2.011 s
465/1000, sim loss = 903.844, time = 0.263 s
466/1000, rel loss = 57420.526, time = 1.994 s
467/1000, sim loss = 903.686, time = 0.257 s
468/1000, rel loss = 57158.697, time = 1.875 s
469/1000, sim loss = 903.528, time = 0.259 s
470/1000, rel loss = 57124.996, time = 1.890 s
471/1000, sim loss = 903.379, time = 0.263 s
472/1000, rel loss = 56965.097, time = 1.951 s
473/1000, sim loss = 903.248, time = 0.272 s
474/1000, rel loss = 56754.630, time = 1.957 s
475/1000, sim loss = 903.080, time = 0.256 s
476/1000, rel loss = 56590.636, time = 1.911 s
477/1000, sim loss = 902.947, time = 0.258 s
478/1000, rel loss = 56385.704, time = 1.914 s
479/1000, sim loss = 902.805, time = 0.259 s
480/1000, rel loss = 56255.658, time = 1.942 s
481/1000, sim loss = 902.640, time = 0.249 s
482/1000, rel loss = 56092.260, time = 1.962 s
483/1000, sim loss = 902.571, time = 0.254 s
484/1000, rel loss = 55987.944, time = 1.974 s
485/1000, sim loss = 902.397, time = 0.269 s
486/1000, rel loss = 55865.423, time = 1.918 s
487/1000, sim loss = 902.279, time = 0.264 s
488/1000, rel loss = 55705.726, time = 1.925 s
489/1000, sim loss = 902.136, time = 0.262 s
490/1000, rel loss = 55595.476, time = 1.925 s
491/1000, sim loss = 901.998, time = 0.254 s
492/1000, rel loss = 55407.047, time = 2.042 s
493/1000, sim loss = 901.901, time = 0.267 s
494/1000, rel loss = 55359.625, time = 2.020 s
495/1000, sim loss = 901.754, time = 0.264 s
496/1000, rel loss = 55153.860, time = 2.002 s
497/1000, sim loss = 901.658, time = 0.297 s
498/1000, rel loss = 54979.167, time = 2.409 s
499/1000, sim loss = 901.547, time = 0.318 s
500/1000, rel loss = 54902.121, time = 2.115 s
